,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
0,GOED,1847 Goedeker Inc.,9.8501,$60.2M,2020.0,Consumer Services,Home Furnishings,https://old.nasdaq.com/symbol/goed,
1,XXII,"22nd Century Group, Inc",2.79,$387.42M,,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/xxii,
2,FAX,Aberdeen Asia-Pacific Income Fund Inc,4.4,$1.09B,1986.0,,,https://old.nasdaq.com/symbol/fax,
3,IAF,Aberdeen Australia Equity Fund Inc,5.47,$126.5M,,,,https://old.nasdaq.com/symbol/iaf,
4,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",8.68,$440.53M,,,,https://old.nasdaq.com/symbol/aef,
5,FCO,"Aberdeen Global Income Fund, Inc.",7.9794,$69.67M,1992.0,,,https://old.nasdaq.com/symbol/fco,
6,ACU,Acme United Corporation.,31.3,$104.51M,1988.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu,
7,ATNM,"Actinium Pharmaceuticals, Inc.",8.36,$113.58M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnm,
8,AE,"Adams Resources & Energy, Inc.",25.99,$110.26M,,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae,
9,ACY,AeroCentury Corp.,8.21,$12.69M,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy,
10,UAVS,"AgEagle Aerial Systems, Inc.",13.89,$814.46M,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/uavs,
11,AGE,"AgeX Therapeutics, Inc.",1.9,$71.61M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age,
12,AIRI,Air Industries Group,1.58,$50.13M,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/airi,
13,AXU,Alexco Resource Corp,2.71,$371.43M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/axu,
14,AAU,"Almaden Minerals, Ltd.",0.58,$69.92M,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau,
15,APT,"Alpha Pro Tech, Ltd.",13.31,$180.72M,,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/apt,
16,AAMC,Altisource Asset Management Corp,21.49,$35.46M,,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc,
17,AMBO,Ambow Education Holding Ltd.,2.525,$58.62M,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ambo,
18,DIT,AMCON Distributing Company,123.25,$67.96M,,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dit,
19,AMS,American Shared Hospital Services,2.54,$14.63M,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ams,
20,USAS,Americas Gold and Silver Corporation,2.61,$307.92M,2017.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/usas,
21,AP.WS,Ampco-Pittsburgh Corporation,,,,,,https://old.nasdaq.com/symbol/ap.ws,
22,AMPE,"Ampio Pharmaceuticals, Inc.",1.8,$333.1M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ampe,
23,ANVS,"Annovis Bio, Inc.",10.545,$72.67M,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/anvs,
24,ARMP,"Armata Pharmaceuticals, Inc.",3.41,$63.77M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/armp,
25,AINC,Ashford Inc.,7.75,$19.79M,2014.0,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/ainc,
26,DPW,"Ault Global Holdings, Inc.",5.32,$147.65M,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dpw,
27,AWX,Avalon Holdings Corporation,3.03,$11.74M,,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/awx,
28,ASM,Avino Silver,1.17,$104.8M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/asm,
29,BTG,B2Gold Corp,5.05,$5.31B,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/btg,
30,BTN,"Ballantyne Strong, Inc",2.02,$29.88M,,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/btn,
31,BCV,Bancroft Fund Limited,31.71,$168.86M,,,,https://old.nasdaq.com/symbol/bcv,
32,BCV^A,Bancroft Fund Limited,25.85,,,,,https://old.nasdaq.com/symbol/bcv^a,
33,BHB,"Bar Harbor Bankshares, Inc.",23.34,$348.43M,,Finance,Major Banks,https://old.nasdaq.com/symbol/bhb,
34,BRN,"Barnwell Industries, Inc.",2.11,$17.46M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/brn,
35,BATL,Battalion Oil Corporation,7.77,$125.9M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/batl,
36,BIOX,Bioceres Crop Solutions Corp.,8.04,$324.22M,2018.0,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/biox,
37,PHGE,BiomX Inc.,6.51,$151.34M,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/phge,
38,PHGE.U,BiomX Inc.,,,2018.0,,,https://old.nasdaq.com/symbol/phge.u,
39,PHGE.WS,BiomX Inc.,,,,,,https://old.nasdaq.com/symbol/phge.ws,
40,BGI,Birks Group Inc.,1.3,$23.36M,,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/bgi,
41,BKTI,BK Technologies Corporation,3.3916,$42.44M,,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/bkti,
42,BDR,"Blonder Tongue Laboratories, Inc.",1.49,$17.22M,,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/bdr,
43,BRBS,"Blue Ridge Bankshares, Inc.",19.5,$111.51M,,Finance,Major Banks,https://old.nasdaq.com/symbol/brbs,
44,BRG,"Bluerock Residential Growth REIT, Inc.",11.43,$272.58M,2014.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/brg,
45,BRG^A,"Bluerock Residential Growth REIT, Inc.",25.237,,,,,https://old.nasdaq.com/symbol/brg^a,
46,BRG^C,"Bluerock Residential Growth REIT, Inc.",25.71,,,,,https://old.nasdaq.com/symbol/brg^c,
47,BRG^D,"Bluerock Residential Growth REIT, Inc.",25.5,,,,,https://old.nasdaq.com/symbol/brg^d,
48,BMTX,"BM Technologies, Inc.",15.93,$194.35M,2018.0,Finance,Major Banks,https://old.nasdaq.com/symbol/bmtx,
49,BMTX.WS,"BM Technologies, Inc.",,,,,,https://old.nasdaq.com/symbol/bmtx.ws,
50,DMF,BNY Mellon Municipal Income Inc.,8.97,$186.13M,1988.0,,,https://old.nasdaq.com/symbol/dmf,
51,BWL.A,"Bowl America, Inc.",,,,,,https://old.nasdaq.com/symbol/bwl.a,
52,BRMK.WS,Broadmark Realty Capital Inc.,,,,,,https://old.nasdaq.com/symbol/brmk.ws,
53,CMCL,Caledonia Mining Corporation Plc,15.74,$190.75M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/cmcl,
54,CEI,"Camber Energy, Inc.",1.24,$31M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cei,
55,CANF,Can-Fite Biopharma Ltd,1.99,$30.67M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/canf,
56,YCBD,"cbdMD, Inc.",3.73,$194.45M,2017.0,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ycbd,
57,YCBD^A,"cbdMD, Inc.",7.97,,,,,https://old.nasdaq.com/symbol/ycbd^a,
58,CVM,Cel-Sci Corporation,14.25,$566.69M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/cvm,
59,CET,Central Securities Corporation,34.18,$881.4M,,,,https://old.nasdaq.com/symbol/cet,
60,LEU,Centrus Energy Corp.,22.09,$265.96M,2014.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/leu,
